date,city,temperature
2011-12-01,San Francisco,60.4
2011-12-01,Austin,48.1
2011-12-02,New York,43.9
2011-12-02,San Francisco,62.2
2011-12-02,Austin,60.6
2011-12-03,New York,42.1
2011-12-03,San Francisco,58.3
2011-12-03,Austin,62.6
2011-12-04,New York,43.9
2011-12-04,San Francisco,52.7
2011-12-04,Austin,57.1
2011-12-05,New York,50.2
2011-12-05,San Francisco,51.5
2011-12-05,Austin,44.2
2011-12-06,New York,54.2
2011-12-06,San Francisco,49.9
2011-12-06,Austin,37.4
2011-12-07,New York,54.6
2011-12-07,San Francisco,48.6
2011-12-07,Austin,35
2011-12-08,New York,43.4
2011-12-08,San Francisco,46.4
2011-12-08,Austin,37
2011-12-09,New York,42.2
2011-12-09,San Francisco,49.8
2011-12-09,Austin,45.4
2011-12-10,New York,45
2011-12-10,San Francisco,52.1
2011-12-10,Austin,50.7
2011-12-11,New York,33.8
2011-12-11,San Francisco,48.8
2011-12-11,Austin,48.6
2011-12-12,New York,36.8
2011-12-12,San Francisco,47.4
2011-12-12,Austin,52.2
2011-12-13,New York,38.6
2011-12-13,San Francisco,47.2
2011-12-13,Austin,60.8
2011-12-14,New York,41.9
2011-12-14,San Francisco,46.1
2011-12-14,Austin,70
2011-12-15,New York,49.6
2011-12-15,San Francisco,48.8
2011-12-15,Austin,64.2
2011-12-16,New York,50.2
2011-12-16,San Francisco,47.9
2011-12-16,Austin,50.9
2011-12-17,New York,40.6
2011-12-17,San Francisco,49.8
2011-12-17,Austin,51.6
2011-12-18,New York,29.1
2011-12-18,San Francisco,49.1
2011-12-18,Austin,55.2
2011-12-19,New York,33.7
2011-12-19,San Francisco,48.3
2011-12-19,Austin,62.1
2011-12-20,New York,45.8
2011-12-20,San Francisco,49.3
2011-12-20,Austin,56.3
2011-12-21,New York,47.4
2011-12-21,San Francisco,48.4
2011-12-21,Austin,47.2
2011-12-22,New York,54.4
2011-12-22,San Francisco,53.3
2011-12-22,Austin,52.3
2011-12-23,New York,47.8
2011-12-23,San Francisco,47.5
2011-12-23,Austin,45.2
2011-12-24,New York,34.9
2011-12-24,San Francisco,47.9
2011-12-24,Austin,43.6
2011-12-25,New York,35.9
2011-12-25,San Francisco,48.9
2011-12-25,Austin,42.9
2011-12-26,New York,43.6
2011-12-26,San Francisco,45.9
2011-12-26,Austin,48.2
2011-12-27,New York,42.9
2011-12-27,San Francisco,47.2
2011-12-27,Austin,45.4
2011-12-28,New York,46.2
2011-12-28,San Francisco,48.9
2011-12-28,Austin,44.2
2011-12-29,New York,30.8
2011-12-29,San Francisco,50.9
2011-12-29,Austin,50.4
2011-12-30,New York,40.8
2011-12-30,San Francisco,52.9
2011-12-30,Austin,52.4
2011-12-31,New York,49.8
2011-12-31,San Francisco,50.1
2011-12-31,Austin,53.5
2012-01-01,New York,46.3
2012-01-01,San Francisco,53.9
2012-01-01,Austin,55.9
2012-01-02,New York,43.2
2012-01-02,San Francisco,53.1
2012-01-02,Austin,48.2
2012-01-03,New York,30.3
2012-01-03,San Francisco,49.7
2012-01-03,Austin,41
2012-01-04,New York,19.2
2012-01-04,San Francisco,52.7
2012-01-04,Austin,48.9
2012-01-05,New York,32.1
2012-01-05,San Francisco,52.6
2012-01-05,Austin,54.8
2012-01-06,New York,41.2
2012-01-06,San Francisco,49
2012-01-06,Austin,61.2
2012-01-07,New York,47
2012-01-07,San Francisco,51
2012-01-07,Austin,59.7
2012-01-08,New York,46
2012-01-08,San Francisco,56.8
2012-01-08,Austin,52.5
2012-01-09,New York,34.7
2012-01-09,San Francisco,52.3
2012-01-09,Austin,54
2012-01-10,New York,39.4
2012-01-10,San Francisco,51.6
2012-01-10,Austin,47.7
2012-01-11,New York,40.4
2012-01-11,San Francisco,49.8
2012-01-11,Austin,49.2
2012-01-12,New York,45.4
2012-01-12,San Francisco,51.9
2012-01-12,Austin,48.4
2012-01-13,New York,40.7
2012-01-13,San Francisco,53.7
2012-01-13,Austin,40.2
2012-01-14,New York,30.4
2012-01-14,San Francisco,52.9
2012-01-14,Austin,43.9
2012-01-15,New York,23.9
2012-01-15,San Francisco,49.7
2012-01-15,Austin,45.2
2012-01-16,New York,22.6
2012-01-16,San Francisco,45.3
2012-01-16,Austin,65
2012-01-17,New York,39.8
2012-01-17,San Francisco,43.6
2012-01-17,Austin,68.2
2012-01-18,New York,43.2
2012-01-18,San Francisco,45
2012-01-18,Austin,47.5
2012-01-19,New York,26.3
2012-01-19,San Francisco,47.3
2012-01-19,Austin,57.1
2012-01-20,New York,32.8
2012-01-20,San Francisco,51.4
2012-01-20,Austin,61.9
2012-01-21,New York,27.4
2012-01-21,San Francisco,53.7
2012-01-21,Austin,54.6
2012-01-22,New York,25
2012-01-22,San Francisco,48.3
2012-01-22,Austin,56.7
2012-01-23,New York,39.4
2012-01-23,San Francisco,52.9
2012-01-23,Austin,54.4
2012-01-24,New York,48.7
2012-01-24,San Francisco,49.1
2012-01-24,Austin,52.7
2012-01-25,New York,43
2012-01-25,San Francisco,52.1
2012-01-25,Austin,61.8
2012-01-26,New York,37.1
2012-01-26,San Francisco,53.6
2012-01-26,Austin,55
2012-01-27,New York,48.2
2012-01-27,San Francisco,50.4
2012-01-27,Austin,50.7
2012-01-28,New York,43.7
